glottocode,name,level,glot_path,family
abin1243,Abinomn,language,abin1243,abin1243
abis1238,Aewa,language,abis1238,abis1238
ashk1247,Ashkaraua,dialect,abkh1242/abkh1243/abaz1241/ashk1247,abkh1242
bezs1238,Bezshagh,dialect,abkh1242/abkh1243/abaz1241/bezs1238,abkh1242
abaz1241,Abaza,language,abkh1242/abkh1243/abaz1241,abkh1242
tapa1256,Tapanta,dialect,abkh1242/abkh1243/abaz1241/tapa1256,abkh1242
abzh1238,Abzhui,dialect,abkh1242/abkh1243/abkh1244/abzh1238,abkh1242
bzyb1238,Bzyb,dialect,abkh1242/abkh1243/abkh1244/bzyb1238,abkh1242
abkh1244,Abkhaz,language,abkh1242/abkh1243/abkh1244,abkh1242
samu1242,Samurzakan,dialect,abkh1242/abkh1243/abkh1244/samu1242,abkh1242
abkh1243,Abkhaz-Abaza,family,abkh1242/abkh1243,abkh1242
abad1240,Abadzex,dialect,abkh1242/circ1239/adyg1241/abad1240,abkh1242
bezh1247,Bezhedukh,dialect,abkh1242/circ1239/adyg1241/bezh1247,abkh1242
adyg1241,Adyghe,language,abkh1242/circ1239/adyg1241,abkh1242
natu1243,Natuzaj,dialect,abkh1242/circ1239/adyg1241/natu1243,abkh1242
shap1240,Shapsug,dialect,abkh1242/circ1239/adyg1241/shap1240,abkh1242
xaku1238,Xakuchi,dialect,abkh1242/circ1239/adyg1241/xaku1238,abkh1242
grea1271,Greater Kabardian,dialect,abkh1242/circ1239/kaba1278/grea1271,abkh1242
kaba1278,Kabardian,language,abkh1242/circ1239/kaba1278,abkh1242
circ1239,Circassian,family,abkh1242/circ1239,abkh1242
abkh1242,Abkhaz-Adyge,family,abkh1242,abkh1242
ubyk1235,Ubykh,language,abkh1242/ubyk1235,abkh1242
abun1253,Abun Je,dialect,abun1252/abun1253,abun1252
abun1254,Abun Tat,dialect,abun1252/abun1254,abun1252
abun1255,Abun Ji,dialect,abun1252/abun1255,abun1252
abun1252,Abun,language,abun1252,abun1252
adai1235,Adai,language,adai1235,adai1235
awji1241,Awjilah,language,afro1255/berb1260/awji1241,afro1255
aytw1238,Ayt Waziten,dialect,afro1255/berb1260/ghad1239/aytw1238,afro1255
eltu1238,Elt Ulid,dialect,afro1255/berb1260/ghad1239/eltu1238,afro1255
ghad1239,Ghadames,language,afro1255/berb1260/ghad1239,afro1255
grea1296,Greater Zenatic,family,afro1255/berb1260/grea1296,afro1255
siwi1238,Libyan-Egyptian Oases Berber,family,afro1255/berb1260/grea1296/siwi1238,afro1255
sawk1238,Sawknah-Fogaha,language,afro1255/berb1260/grea1296/siwi1238/sawk1238,afro1255
siwi1239,Siwi,language,afro1255/berb1260/grea1296/siwi1238/siwi1239,afro1255
chen1266,Western Algerian Berber,language,afro1255/berb1260/grea1296/zena1250/chen1266,afro1255
zena1250,Zenatic,family,afro1255/berb1260/grea1296/zena1250,afro1255
moza1250,Northern Saharan Oasis Berber,family,afro1255/berb1260/grea1296/zena1250/moza1250,afro1255
ouar1239,Ouargli-Oued Righ,family,afro1255/berb1260/grea1296/zena1250/moza1250/ouar1239,afro1255
taga1278,Ouargli,language,afro1255/berb1260/grea1296/zena1250/moza1250/ouar1239/taga1278,afro1255
oued1238,Ouedghir,dialect,afro1255/berb1260/grea1296/zena1250/moza1250/ouar1239/taga1278/oued1238,afro1255
tari1264,Tariyit,dialect,afro1255/berb1260/grea1296/zena1250/moza1250/ouar1239/taga1278/tari1264,afro1255
tema1244,Temacin,dialect,afro1255/berb1260/grea1296/zena1250/moza1250/ouar1239/taga1278/tema1244,afro1255
tema1243,Oued Righ,language,afro1255/berb1260/grea1296/zena1250/moza1250/ouar1239/tema1243,afro1255
gour1247,Gourara,dialect,afro1255/berb1260/grea1296/zena1250/moza1250/tazn1238/gour1247,afro1255
tazn1238,Sud Oranais-Gourara,language,afro1255/berb1260/grea1296/zena1250/moza1250/tazn1238,afro1255
